File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
DG-N,1161,0.604967676,1468,0.716054159,0.913224706,0.804715798,0.898080211,0.763328796,0.464901197,0.366975202,0.777777778,0.654545455,0.623529412,0.593220339,0.875,0.791208791,0.768115942,0.744680851,0.504950495,0.360239163,0.242134063,0.198412698
DG-P,1187,0.724402136,1355,0.832612724,0.967333333,0.811645164,0.9963988,0.992265258,0.982885745,0.927732472,0.592592593,0.555555556,0.505882353,0.442477876,0.744186047,0.714285714,0.671875,0.613496933,0.852941176,0.828087167,0.803827751,0.72706422
FFG,1631,0.658142947,2003,0.779040265,0.967855743,0.819826941,0.999063881,0.996549463,0.984614137,0.86473234,1,0.981481481,0.952941176,0.682170543,1,0.990654206,0.975903614,0.811059908,0.903479237,0.87804878,0.827213823,0.655239961
RT-A,726,0.559198543,922,0.719244823,0.946714951,0.843661834,0.998655331,0.996387348,0.980913191,0.875269239,1,1,0.976470588,0.692307692,1,1,0.988095238,0.818181818,0.947712418,0.916129032,0.838509317,0.661971831
RT-AR,880,0.5421436,1110,0.690635452,0.961401727,0.8083429,0.99908372,0.997688713,0.987780456,0.877240007,1,0.982142857,0.954545455,0.7109375,1,0.990990991,0.976744186,0.831050228,0.853932584,0.848314607,0.812154696,0.655696203
RT-ARP,1055,0.587084149,1263,0.716370986,0.961247216,0.766762005,0.998904082,0.996870975,0.979785583,0.861463447,0.964285714,0.910714286,0.853932584,0.6,0.981818182,0.953271028,0.921212121,0.75,0.733615222,0.718487395,0.679012346,0.547528517
H-E,1705,0.616940013,2131,0.755029314,0.964455917,0.838493281,0.999954773,0.999848451,0.995086041,0.891143457,1,0.981481481,0.952941176,0.7109375,1,0.990654206,0.975903614,0.831050228,0.95631068,0.956257594,0.923444976,0.747551687
Sobel,1008,0.553784861,1271,0.713674251,0.958898798,0.839041211,0.999544003,0.99856343,0.993153625,0.891679234,1,0.981481481,0.964705882,0.713114754,1,0.990654206,0.982035928,0.832535885,0.947743468,0.942992874,0.92,0.746781116
Roberts,1008,0.553784861,1271,0.713674251,0.958898798,0.839041211,0.999544003,0.99856343,0.993153625,0.891679234,1,0.981481481,0.964705882,0.713114754,1,0.990654206,0.982035928,0.832535885,0.947743468,0.942992874,0.92,0.746781116
RASTA,1281,0.544452347,1642,0.692969334,0.96132044,0.822785887,0.999439823,0.998529787,0.994467098,0.902671501,1,0.982142857,0.943820225,0.6953125,1,0.990990991,0.971098266,0.820276498,0.892307692,0.888461538,0.870229008,0.70979021
Susan,893,0.504439512,1172,0.666856168,0.958066108,0.836202336,0.999099627,0.997481843,0.982081911,0.872994,1,0.981481481,0.941860465,0.635658915,1,0.990654206,0.97005988,0.777251185,0.950920245,0.944785276,0.897897898,0.698113208
JPEG,2890,0.603457739,3676,0.726975639,0.971494817,0.799395228,0.998684371,0.99589809,0.986777994,0.898966636,1,0.944444444,0.88372093,0.622047244,1,0.971428571,0.938271605,0.766990291,0.842531273,0.820960699,0.790830946,0.667556742
JPEG-R,1250,0.536005939,1548,0.712160655,0.960377358,0.848867811,0.999968223,0.999876743,0.996632483,0.901110397,1,0.981481481,0.953488372,0.669354839,1,0.990654206,0.976190476,0.801932367,0.995975855,0.99195171,0.96031746,0.770197487
FFG-Ext,3241,0.604707891,3965,0.740798849,0.972466176,0.804104574,0.999817176,0.999467914,0.997757675,0.907407123,1,0.981481481,0.941860465,0.65625,1,0.990654206,0.97005988,0.79245283,0.867887508,0.866579464,0.850746269,0.707609347
FFG-HPV,2699,0.608215997,3320,0.729641694,0.982486317,0.776761369,0.999336433,0.998321252,0.994261885,0.903452409,1,0.981481481,0.941860465,0.643410853,1,0.990654206,0.97005988,0.783018868,0.779160187,0.776223776,0.758275597,0.63
